62,O Poderoso Chefão,1972,2 h 55 min,14,"9,2",O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.
64,Era Uma Vez em... Hollywood,2019,2 h 41 min,16,"7,6",Um ator de televisão apagado e seu dublê se esforçam para alcançar a fama e o sucesso na indústria cinematográfica durante os anos finais da Era de Ouro de Hollywood.
60,Wonka,2023,1 h 56 min,10,"7,0","Um jovem Willy Wonka cheio de ideias está determinado a mudar o mundo a cada deliciosa mordida de seu chocolate, uma atrás da outra, provando que as melhores coisas da vida sempre começam com um sonho."
65,Barbie,2023,1 h 54 min,12,"6,8",Viver na Terra da Barbie é ser um ser perfeito em um lugar perfeito. A menos que você tenha uma crise existencial completa. Ou que você seja um Ken.
68,Dias Perfeitos,2023,2 h 4 min,12,"7,9","Hirayama concilia seu trabalho como zelador dos banheiros públicos de Tóquio com sua paixão por música, literatura e fotografia. Sua rotina é lentamente interrompida por encontros inesperados que o forçam a se reconectar com seu passado."
67,Um Sonho de Liberdade,1994,2 h 22 min,16,"9,3","Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum."
63,MaXXXine,2024,1 h 43 min,R,ND,"Na Hollywood dos anos 80, a estrela de filmes adultos e aspirante a atriz Maxine Minx finalmente consegue sua grande chance."
66,Herança Roubada,2024,1 h 45 min,16,"5,6","Neste drama emocionante inspirado em uma história real, uma jovem de uma comunidade indígena da Suécia busca vingança contra um assassino."
69,Não Fale o Mal,2022,1 h 37 min,Not Rated,"6,6",Uma família dinamarquesa visita uma família holandesa que conheceu nas férias. O que era suposto ser um fim-de-semana idílico começa lentamente a desmoronar-se à medida que os dinamarqueses tentam ser educados diante do desagradável.
70,Garra de Ferro,2023,2 h 12 min,16,"7,7",Uma família de lutadores que se enfrentam no ringue precisa lidar com uma série de tragédias pessoais.
72,Saltburn,2023,2 h 11 min,18,"7,0","Lutando para encontrar seu lugar na Faculdade de Oxford, um aluno é atraído para o mundo de um encantador aristocrata, que o convida para Saltburn, a enorme mansão de sua família excêntrica, para passar um verão inesquecível."
71,Madame Teia,2024,1 h 56 min,14,"3,8","Forçada a confrontar seu passado, Cassandra Webb, uma paramédica em Manhattan que pode ter habilidades de clarividência, cria uma relação com três jovens destinadas a futuros poderosos, se elas conseguirem sobreviver ao presente ameaçador."
76,Hundreds of Beavers,2022,1 h 48 min,ND,"7,9","Neste invernal épico sobrenatural do século 19, sem diálogos, um vendedor bêbado de aguardente de maçã se torna um herói e se passa a ser o maior caçador de peles da América do Norte, derrotando centenas de castores."
75,Ricky Stanicky,2024,1 h 53 min,16,"6,2","Quando três melhores amigos de infância fazem uma pegadinha que dá errado, eles inventam o imaginário Ricky Stanicky para se livrarem de problemas. Vinte anos depois, eles ainda usam Ricky como um álibi para seu comportamento imaturo."
73,Fragmentado,2016,1 h 57 min,14,"7,3",Três meninas são sequestradas por um homem com 23 personalidades distintas. Elas devem tentar escapar antes do aparente surgimento de outra personalidade.
74,Os Pequenos Vestígios,2021,2 h 8 min,16,"6,3",Dois polícias localizam um assassino em série.
78,Coringa,2019,2 h 2 min,16,"8,4",Um comediante falido enlouquece e se torna um assassino psicopata.
77,Pulp Fiction: Tempo de Violência,1994,2 h 34 min,18,"8,9","As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção."
81,Zona de Risco,2024,1 h 53 min,16,"6,5",Um piloto de drone e um jovem oficial das Forças Aéreas são as únicas esperanças de uma força-tarefa presa em uma emboscada nas Filipinas. Eles têm 48 horas para resgatar os soldados antes que a missão vire um verdadeiro desastre.
79,Assassinos da Lua das Flores,2023,3 h 26 min,14,"7,6","Na virada do século XX, o petróleo tornou a nação Osage a mais rica do mundo do dia para a noite. Tanta riqueza atraiu intrusos brancos, que manipularam, extorquiram e roubaram o dinheiro do povo Osage antes de assassinar a população."
80,Cruzada,2005,2 h 24 min,14,"7,3","Balian de Ibelin viaja para Jerusalém durante as Cruzadas no século 12, onde ele terá que defender a cidade e seu povo."
82,Ghostbusters: Mais Além,2021,2 h 4 min,12,"7,0","Quando uma mãe solteira e seus filhos se mudam para uma pequena cidade no Oklahoma, eles começam a descobrir sua conexão com os Caça-Fantasmas originais e o legado secreto que seu avó deixou para trás."
83,Os Caça-Fantasmas,1984,1 h 45 min,Livre,"7,8","Os parapsicologistas Egon Spengler, Raymond Stantz e Peter Venkman, decidem abrir seu próprio negócio de caçadores de fantasmas quando um portal para uma outra dimensão é aberto em Nova York."
84,Love,2015,2 h 15 min,18,"6,1",Murphy é um americano que mora em Paris e junto con sua instável namorada convidaram a sua vizinha a sua cama sem pensar nas consequências.
88,Megalopolis,2024,ND,ND,ND,Um arquiteto quer reconstruir a cidade de Nova York como uma utopia após um desastre devastador.
85,Os Rejeitados,2023,2 h 13 min,16,"7,9",Um professor mal-humorado é forçado a permanecer no campus para cuidar do grupo de alunos que não tem para onde ir durante as férias de Natal. Ele acaba criando um vínculo improvável com um deles e com a cozinheira-chefe da escola.
87,"LaRoy, Texas",2023,1 h 52 min,ND,"6,4","Quando Ray descobre que sua esposa está lhe traindo, ele decide que vai se matar. Seus planos mudam repentinamente quando um estranho o confunde com um assassino de aluguel."
86,O Lar das Crianças Peculiares,2016,2 h 7 min,12,"6,7",Jacob descobre pistas que se encaixam em um mistério que se estende através do tempo e encontra a casa da senhorita Peregrine para crianças peculiares.
90,Titanic,1997,3 h 14 min,12,"7,9",Uma aristocrata de dezessete anos se apaixona por um artista gentil mas pobre a bordo do luxuoso e desafortunado Titanic.
92,Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,2023,2 h 37 min,14,"6,8","Anos antes de se tornar o tirânico Presidente de Panem, Coriolanus Snow, aos 18 anos, vê uma chance de mudança de sorte quando é escolhido para ser mentor de Lucy Gray Baird, uma garota tributo do empobrecido Distrito 12."
